event_id,areaperil_id,intensity_bin_id,probability
4,87,11,1
4,88,11,1
4,89,10,1
4,90,9,1
4,91,9,1
4,92,10,1
4,93,11,1
4,94,11,1
4,95,10,1
4,96,10,1
4,97,10,1
4,98,11,1
4,99,11,1
4,100,10,1
4,101,9,1
4,102,11,1
4,103,11,1
4,104,10,1
4,105,7,1
4,106,7,1
4,107,7,1
4,108,10,1
4,109,11,1
4,110,11,1
5,1,11,1
5,2,10,1
5,3,10,1
5,4,10,1
5,5,10,1
5,6,11,1
5,7,11,1
5,8,10,1
5,9,9,1
5,10,8,1
5,11,11,1
5,12,11,1
5,13,11,1
5,14,10,1
5,15,11,1
5,16,11,1
5,17,10,1
5,18,10,1
5,19,9,1
5,20,8,1
5,21,10,1
5,22,10,1
5,23,11,1
5,24,11,1
5,25,11,1
5,26,10,1
5,27,10,1
5,28,10,1
5,29,10,1
5,30,9,1
5,31,10,1
5,32,10,1
5,33,10,1
5,34,10,1
5,35,10,1
5,36,9,1
5,37,9,1
5,38,10,1
5,39,10,1
5,40,9,1
5,41,10,1
5,42,10,1
5,43,9,1
5,44,9,1
5,45,10,1
5,46,9,1
5,47,10,1
5,48,10,1
5,49,10,1
5,50,9,1
5,51,9,1
5,52,10,1
5,53,10,1
5,54,10,1
5,55,9,1
5,56,10,1
5,57,10,1
5,58,10,1
5,59,9,1
5,60,9,1
5,61,9,1
5,62,9,1
5,63,10,1
5,64,10,1
5,65,10,1
5,66,10,1
5,67,10,1
5,68,9,1
5,69,10,1
5,70,9,1
5,71,8,1
5,72,9,1
5,73,10,1
5,74,9,1
5,75,10,1
5,76,9,1
5,77,9,1
5,78,8,1
5,79,9,1
5,80,9,1
5,81,8,1
5,82,9,1
5,83,10,1
5,84,8,1
5,85,8,1
5,86,9,1
5,87,9,1
5,88,9,1
5,89,10,1
5,90,9,1
5,91,8,1
5,92,9,1
5,93,9,1
5,94,9,1
5,95,9,1
5,96,8,1
5,97,8,1
5,98,9,1
5,99,9,1
5,100,9,1
5,101,7,1
5,102,8,1
5,103,9,1
5,104,9,1
5,105,10,1
5,106,9,1
5,107,10,1
5,108,9,1
5,109,9,1
5,110,9,1
6,1,13,1
6,2,13,1
6,3,13,1
6,4,13,1
6,5,13,1
6,6,11,1
6,7,10,1
6,8,9,1
6,9,7,1
6,10,6,1
6,11,13,1
6,12,13,1
6,13,13,1
6,14,13,1
6,15,13,1
6,16,12,1
6,17,11,1
6,18,9,1
6,19,8,1
6,20,6,1
6,21,13,1
6,22,14,1
6,23,13,1
6,24,13,1
6,25,13,1
6,26,13,1
6,27,11,1
6,28,9,1
6,29,8,1
6,30,7,1
6,31,13,1
6,32,13,1
6,33,13,1
6,34,13,1
6,35,13,1
6,36,13,1
6,37,11,1
6,38,10,1
6,39,8,1
6,40,7,1
6,41,13,1
6,42,13,1
6,43,13,1
6,44,13,1
6,45,13,1
6,46,12,1
6,47,11,1
6,48,9,1
6,49,8,1
6,50,7,1
6,51,14,1
6,52,14,1
6,53,13,1
6,54,13,1
6,55,13,1
6,56,12,1
6,57,10,1
6,58,9,1
6,59,8,1
6,60,6,1
6,61,13,1
6,62,12,1
6,63,14,1
6,64,14,1
6,65,13,1
6,66,11,1
6,67,10,1
6,68,8,1
6,69,7,1
6,70,6,1
6,71,14,1
6,72,13,1
6,73,12,1
6,74,14,1
6,75,13,1
6,76,11,1
6,77,10,1
6,78,8,1
6,79,7,1
6,80,6,1
6,81,13,1
6,82,14,1
6,83,13,1
6,84,13,1
6,85,13,1
6,86,12,1
6,87,10,1
6,88,8,1
6,89,7,1
6,90,6,1
6,91,14,1
6,92,14,1
6,93,14,1
6,94,14,1
6,95,13,1
6,96,11,1
6,97,10,1
6,98,8,1
6,99,7,1
6,100,6,1
6,101,15,1
6,102,15,1
6,103,14,1
6,104,14,1
6,105,12,1
6,106,11,1
6,107,9,1
6,108,8,1
6,109,6,1
6,110,5,1
