index,AREA_PERIL_ID,Centro_Lon,Centro_Lat,Vc_mph,r_km,RMW_km,Vmax_ms,B,event_id,bin_index,bin_from,bin_to,interpolation,interval_type
65,66,-61.29693829961214,16.106908060853094,97.35328071161764,11.040150968555063,74.08000183,66.4,1.5528188882522498,1,12,92.5,97.5,95,1202
66,67,-61.297706575251546,16.01654401150706,98.83608119259743,14.342663385130765,74.08000183,66.4,1.5528188882522498,1,13,97.5,102.5,100,1202
67,68,-61.298469952383165,15.926179173370675,119.40574647195626,22.172164301949152,74.08000183,66.4,1.5528188882522498,1,17,117.5,122.5,120,1202
68,69,-61.29922844131843,15.835813550516438,128.40147811910714,31.298060490231926,74.08000183,66.4,1.5528188882522498,1,19,127.5,132.5,130,1202
69,70,-61.299982052292,15.745447147023745,118.232617553691,40.86083879047194,74.08000183,66.4,1.5528188882522498,1,17,117.5,122.5,120,1202
70,71,-61.19933658619734,16.557928155269597,99.28723081762186,55.25392146861743,74.08000183,66.4,1.5528188882522498,1,13,97.5,102.5,100,1202
71,72,-61.20017299963192,16.467572651392977,111.11865518027098,46.1154477410465,74.08000183,66.4,1.5528188882522498,1,15,107.5,112.5,110,1202
72,73,-61.20100419049489,16.377216334417085,122.60528965441357,37.447352130589366,74.08000183,66.4,1.5528188882522498,1,18,122.5,127.5,125,1202
73,74,-61.20183017007242,16.286859208406884,129.0055975272224,29.664962819312063,74.08000183,66.4,1.5528188882522498,1,19,127.5,132.5,130,1202
74,75,-61.2026509495677,16.196501277434336,123.67810256784881,23.659188411025447,74.08000183,66.4,1.5528188882522498,1,18,122.5,127.5,125,1202
75,76,-61.20346654010144,16.10614254557829,114.87358285374673,21.013111200806343,74.08000183,66.4,1.5528188882522498,1,16,112.5,117.5,115,1202
76,77,-61.2042769527122,16.015783016924487,121.75751623038089,22.9215194091374,74.08000183,66.4,1.5528188882522498,1,17,117.5,122.5,120,1202
77,78,-61.20508219835677,15.925422695565516,129.03751393725443,28.48329134028692,74.08000183,66.4,1.5528188882522498,1,19,127.5,132.5,130,1202
78,79,-61.205882287910576,15.835061585600796,124.24592494085965,36.04526832553773,74.08000183,66.4,1.5528188882522498,1,18,122.5,127.5,125,1202
79,80,-61.20667723216801,15.744699691136532,113.17480143320188,44.60147410426889,74.08000183,66.4,1.5528188882522498,1,16,112.5,117.5,115,1202
80,81,-61.10565532890542,16.557097905198574,94.00387920911946,59.765732170551175,74.08000183,66.4,1.5528188882522498,1,12,92.5,97.5,95,1202
81,82,-61.1065352188415,16.466747184208106,104.0686552283568,51.43587042531314,74.08000183,66.4,1.5528188882522498,1,14,102.5,107.5,105,1202
82,83,-61.1074096149475,16.37639564585213,114.21976305461281,43.833505886451036,74.08000183,66.4,1.5528188882522498,1,16,112.5,117.5,115,1202
83,84,-61.10827852909438,16.28604329422447,122.65663106464463,37.40495093540496,74.08000183,66.4,1.5528188882522498,1,18,122.5,127.5,125,1202
84,85,-61.10914197306594,16.195690133425792,127.36332668879938,32.84686100133071,74.08000183,66.4,1.5528188882522498,1,18,122.5,127.5,125,1202
85,86,-61.10999995855911,16.105336167563586,128.55551343579083,30.995792232602266,74.08000183,66.4,1.5528188882522498,1,19,127.5,132.5,130,1202
86,87,-61.11085249718454,16.01498140075212,127.75931234265452,32.320334525785604,74.08000183,66.4,1.5528188882522498,1,19,127.5,132.5,130,1202
87,88,-61.11169960046676,15.92462583711243,124.29186994942593,34.37055927401866,74.08000183,66.4,1.5528188882522498,1,18,122.5,127.5,125,1202
88,89,-61.112541279844805,15.834269480772273,119.45007603408196,38.17536938006294,74.08000183,66.4,1.5528188882522498,1,17,117.5,122.5,120,1202
89,90,-61.11337754667241,15.743912335866112,111.29187449670714,43.99287714588581,74.08000183,66.4,1.5528188882522498,1,15,107.5,112.5,110,1202
90,91,-61.01197957744639,16.556225594203763,87.87889346054548,65.50090724305177,74.08000183,66.4,1.5528188882522498,1,11,87.5,92.5,90,1202
91,92,-61.01290293192547,16.465879898244513,96.02121055798716,56.58666570620313,74.08000183,66.4,1.5528188882522498,1,12,92.5,97.5,95,1202
92,93,-61.01382052140358,16.375533380438238,106.26062385967258,47.60574629525431,74.08000183,66.4,1.5528188882522498,1,14,102.5,107.5,105,1202
93,94,-61.01473235833617,16.28518604490904,118.11650747214652,39.14732339313803,74.08000183,66.4,1.5528188882522498,1,17,117.5,122.5,120,1202
94,95,-61.01563845508711,16.194837895787767,127.0624633779687,31.63342302089051,74.08000183,66.4,1.5528188882522498,1,18,122.5,127.5,125,1202
95,96,-61.01653882392925,16.104488937211965,128.2748799362656,25.899686987806312,74.08000183,66.4,1.5528188882522498,1,19,127.5,132.5,130,1202
96,97,-61.01743347704483,16.014139173325894,124.86532735166963,23.299764647623217,74.08000183,66.4,1.5528188882522498,1,18,122.5,127.5,125,1202
97,98,-61.01832242652582,15.923788608280452,127.30457769418686,24.838161338945003,74.08000183,66.4,1.5528188882522498,1,18,122.5,127.5,125,1202
98,99,-61.019205684374384,15.833437246233188,128.28126165797732,29.882511549099235,74.08000183,66.4,1.5528188882522498,1,19,127.5,132.5,130,1202
99,100,-61.020083262503306,15.74308509134821,120.98824243743267,37.0266761047015,74.08000183,66.4,1.5528188882522498,1,17,117.5,122.5,120,1202
100,101,-60.91830960357902,16.5553112335683,87.53138219604884,63.043604594020806,74.08000183,66.4,1.5528188882522498,1,11,87.5,92.5,90,1202
101,102,-60.91927641005388,16.464970804714067,98.81169809788739,53.262509185988186,74.08000183,66.4,1.5528188882522498,1,13,97.5,102.5,100,1202
102,103,-60.920237180448844,16.37462954931616,111.84228611962412,43.60305874828712,74.08000183,66.4,1.5528188882522498,1,15,107.5,112.5,110,1202
103,104,-60.92119192780327,16.28428747153042,124.52290543036237,34.16865269175685,74.08000183,66.4,1.5528188882522498,1,18,122.5,127.5,125,1202
104,105,-60.92214066506086,16.193944575519293,127.70723522111604,25.213296856197953,74.08000183,66.4,1.5528188882522498,1,19,127.5,132.5,130,1202
105,106,-60.92308340506986,16.103600865451874,104.67482288742951,17.489208167903477,74.08000183,66.4,1.5528188882522498,1,14,102.5,107.5,105,1202
106,107,-60.924020160583716,16.01325634550383,103.6231236136652,13.341218815383188,74.08000183,66.4,1.5528188882522498,1,14,102.5,107.5,105,1202
107,108,-60.92495094426136,15.92291101985735,100.24180047655453,15.876478068340557,74.08000183,66.4,1.5528188882522498,1,13,97.5,102.5,100,1202
108,109,-60.92587576866778,15.832564892701184,124.180350515766,22.98044261463613,74.08000183,66.4,1.5528188882522498,1,18,122.5,127.5,125,1202
109,110,-60.92679464627433,15.742217968230552,126.98968686221251,31.71920044150191,74.08000183,66.4,1.5528188882522498,1,18,122.5,127.5,125,1202
