index,AREA_PERIL_ID,Centro_Lon,Centro_Lat,Vc_mph,r_km,RMW_km,Vmax_ms,B,event_id,bin_index,bin_from,bin_to,interpolation,interval_type
89,90,-61.11337754667241,15.743912335866112,47.50614224092657,119.64371857955086,66.23915023749144,69.45,1.3724764887512442,1,3,47.5,52.5,50,1202
90,91,-61.01197957744639,16.556225594203763,86.89340512564091,46.7282294634299,66.23915023749144,69.45,1.3724764887512442,1,10,82.5,87.5,85,1202
91,92,-61.01290293192547,16.465879898244513,83.08873771125884,51.14153789857267,66.23915023749144,69.45,1.3724764887512442,1,10,82.5,87.5,85,1202
92,93,-61.01382052140358,16.375533380438238,78.3206505630167,57.00280998425097,66.23915023749144,69.45,1.3724764887512442,1,9,77.5,82.5,80,1202
93,94,-61.01473235833617,16.28518604490904,73.20155469207003,63.91496620620388,66.23915023749144,69.45,1.3724764887512442,1,8,72.5,77.5,75,1202
94,95,-61.01563845508711,16.194837895787767,68.1666919580299,71.57422493537199,66.23915023749144,69.45,1.3724764887512442,1,7,67.5,72.5,70,1202
95,96,-61.01653882392925,16.104488937211965,63.453511542173025,79.76569262938152,66.23915023749144,69.45,1.3724764887512442,1,6,62.5,67.5,65,1202
96,97,-61.01743347704483,16.014139173325894,59.1583777409114,88.34147424440361,66.23915023749144,69.45,1.3724764887512442,1,5,57.5,62.5,60,1202
97,98,-61.01832242652582,15.923788608280452,55.297053883182464,97.19992655978803,66.23915023749144,69.45,1.3724764887512442,1,4,52.5,57.5,55,1202
98,99,-61.019205684374384,15.833437246233188,51.84600041203046,106.27040808899754,66.23915023749144,69.45,1.3724764887512442,1,3,47.5,52.5,50,1202
99,100,-61.020083262503306,15.74308509134821,48.76587795859525,115.50299880637003,66.23915023749144,69.45,1.3724764887512442,1,3,47.5,52.5,50,1202
100,101,-60.91830960357902,16.5553112335683,94.85820205275235,37.5476144142057,66.23915023749144,69.45,1.3724764887512442,1,12,92.5,97.5,95,1202
101,102,-60.91927641005388,16.464970804714067,90.25607139492813,42.91562788154959,66.23915023749144,69.45,1.3724764887512442,1,11,87.5,92.5,90,1202
102,103,-60.920237180448844,16.37462954931616,84.26732402886641,49.75541450363476,66.23915023749144,69.45,1.3724764887512442,1,10,82.5,87.5,85,1202
103,104,-60.92119192780327,16.28428747153042,77.8992339565732,57.54458227327385,66.23915023749144,69.45,1.3724764887512442,1,9,77.5,82.5,80,1202
104,105,-60.92214066506086,16.193944575519293,71.80183728028005,65.94762501036374,66.23915023749144,69.45,1.3724764887512442,1,7,67.5,72.5,70,1202
105,106,-60.92308340506986,16.103600865451874,66.25752642300138,74.75785726287928,66.23915023749144,69.45,1.3724764887512442,1,6,62.5,67.5,65,1202
106,107,-60.924020160583716,16.01325634550383,61.334482948960904,83.84705070486551,66.23915023749144,69.45,1.3724764887512442,1,5,57.5,62.5,60,1202
107,108,-60.92495094426136,15.92291101985735,57.003609324680994,93.13359386676893,66.23915023749144,69.45,1.3724764887512442,1,4,52.5,57.5,55,1202
108,109,-60.92587576866778,15.832564892701184,53.200707319739664,102.56391843826002,66.23915023749144,69.45,1.3724764887512442,1,4,52.5,57.5,55,1202
109,110,-60.92679464627433,15.742217968230552,49.854797487164284,112.10176632162049,66.23915023749144,69.45,1.3724764887512442,1,3,47.5,52.5,50,1202
