ID_event,TimeStep,Lat,Lon,Vmax_ms,RMW_km,category,B,geometry_x,geometry_y,AREA_PERIL_ID,Centro_Lon,Centro_Lat,r_km,Vc_ms,Vc_mph
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.57929509987702 15.83782851149943),39,-61.57929509987702,15.837828511499428,2003.7158430441152,3.624843063067195,7.046131224104698
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.57992465227449 15.74745002471471),40,-61.57992465227449,15.747450024714707,2000.7260015807205,3.6278176568941958,7.051913371932562
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.48041067418749 16.56016643524787),41,-61.48041067418749,16.560166435247872,2019.7876338960932,3.6089690179079135,7.015274548849076
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.48111659226007 16.46979803624475),42,-61.48111659226007,16.46979803624475,2016.436564444333,3.6122628506973573,7.021677247575857
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.48181810201905 16.37942883564758),43,-61.48181810201905,16.379428835647584,2013.1281972508589,3.6155229504278545,7.028014374481791
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.48251521299376 16.28905883744359),44,-61.48251521299376,16.289058837443594,2009.8627448347668,3.6187488230913387,7.0342849692920195
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.48320793464357 16.1986880456273),45,-61.48320793464357,16.198688045627296,2006.640418342404,3.6219399756730106,7.04048807366244
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.48389627635813 16.10831646420028),46,-61.48389627635813,16.108316464200282,2003.4614274908154,3.625095916333746,7.04662273153428
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.48458024745771 16.01794409717134),47,-61.484580247457714,16.017944097171345,2000.3259805109062,3.628216154594951,7.052687989493426
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.48525985719355 15.92757094855639),48,-61.485259857193554,15.927570948556388,1997.2342840902832,3.631300201525841,7.058682897134464
37.0_8.0_5.0,0,9.7,315.8,18.10844231,46.29999924,0,1.115339428887,POINT (315.8 9.699999999999999),POINT (-61.48593511474818 15.83719702237834),49,-61.48593511474818,15.837197022378342,1994.1865433158712,3.6343475699329533,7.064606507429067
